IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_101,PKA_101_ASA,PKA_153_CHA,MOT_2D_linker_CSV,REC_R_HSA_194922,PWY_R_HSA_194315_CSV,GO_0001933_EXP,GO_0007257_CSV,GO_0014068_CSV,GO_0016241,GO_0019722_CSV,GO_0035924,GO_0043524_CSV,GO_0050728,GO_0050772,EXP_FAM198B,EXP_MINK1,EXP_PRKD3,EXP_ANKK1,EXP_WNK4,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_CXCR4,EXP_CDK4_X_EXP_SUPT3H,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_NELFA,EXP_CDK9_X_EXP_POLR2B,EXP_LIMK2_X_EXP_CDC42,EXP_MAP2K7_X_EXP_MYC,EXP_MAP2K7_X_EXP_VEGFA,EXP_MAPKAPK3_X_EXP_HIST1H2BJ,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_LEMD3,EXP_PRKCA_X_EXP_YWHAG,EXP_PRKD1_X_EXP_PRKD3,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TGFBR2_X_EXP_SMAD6,EXP_TRIB3_X_EXP_TGS1,PWY_R_HSA_1430728_X_PWY_R_HSA_2262752,GO_0001764_EXP_X_GO_0034613_EXP,GO_0001764_X_GO_0009267,GO_0001764_X_GO_0034613,GO_0007030_X_GO_0070372,GO_0009267_X_GO_0030182,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_1901215_EXP,Predicted IC50,Validation
2.518205,753532,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,3.0178720812,9
0.116225,753583,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,2.2535975505,7
3.974076,910911,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,2.8815035017,6
2.326525,753531,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,0.4431998011,1
3.07666,753532,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,3.8995155764,7
3.901096,753583,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,3.2597675328,9
4.049163,910911,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,3.7192518854,5
0.008126,753531,38,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,0.1177591827,3
1.384247,753532,38,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,1.5605228626,10
2.113058,753583,38,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,2.101508339,6
3.929471,910911,38,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,2.2616124787,1
-2.725125,753531,51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,-1.54810198,3
-1.488883,753532,51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,0.4408201441,1
0.344986,753583,51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,0.5568501226,7
0.729257,910911,51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,0.7201368207,5
2.617071,753531,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,2.5116347643,5
1.613299,753532,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,2.8325889579,10
2.430803,753583,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,2.6047287897,3
3.464121,910911,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,3.1820546521,9
-3.229404,753531,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,-2.388861627,1
-2.593785,753532,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,-0.87967965,5
-2.8288,753583,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,-1.060230323,1
-0.824843,910911,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,-1.451507373,5
1.505162,753531,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,1.7509761298,8
2.297649,753532,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,2.2757431312,10
3.513523,753583,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,2.6197644726,10
3.842354,910911,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,3.5259870652,7
-0.190409,753531,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,-0.781040906,3
2.722762,753532,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,1.4863283404,1
1.696981,753583,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,4.7960788883,3.1125135539,3.0367582321,14.468722261,15.240548559,39.83070121,18.024507238,29.26440946,54.867994671,17.436706731,48.613799215,22.056738274,19.8688094,23.906460326,17.362683844,19.406312446,13.775518496,22.006728402,27.254606056,19.287822469,41.809389631,0,0,0,0,0,0,0,0,1.5037748,7
2.083431,910911,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.83012,0,0,0,0,0,1,0,4.1074828237,4.6572398587,5.4533735949,2.8899305258,3.0917080726,12.45269153,12.189728903,35.974066928,32.008003165,35.123296175,60.83914622,25.0207621,46.95151388,24.294715756,19.569173242,23.921268956,19.033038921,20.614843731,16.601207481,23.867625919,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,1.7766319351,2
0.214726,753531,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.810932,0,0,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,4.442734534,3.1158381075,3.3189522862,11.577534537,11.233056744,26.602782714,45.683885969,38.557038497,70.177608879,30.202049118,58.522392844,31.294135316,18.662285746,20.646585205,17.389469037,16.872249379,12.096572083,22.797128037,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,-0.012390073,5
2.00256,753532,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,0,0,5.256379074,4.3082802517,5.6132792667,2.8341604698,3.1056330538,14.163588346,13.244500139,31.407003799,16.984357457,27.165106239,57.034202372,19.469066899,46.417581132,26.169691651,19.528536393,24.664611511,21.966168382,23.052497848,16.361695792,21.652637247,42.056586698,34.047576844,33.920010527,1,0,0,0,0,0,0,0,2.388216477,2
