IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_785,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_676,Fingerprint_673,Fingerprint_672,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,MOT_2D_beta2strand,REC_R_HSA_5672972,REC_R_HSA_5672972_EXP,PWY_R_HSA_416482,PWY_R_HSA_416482_EXP,GO_0006357,GO_0006979,GO_0018105_CSV,GO_0035556_CSV,GO_0048010,GO_0051973_EXP,GO_2000145_EXP,EXP_BRDT,PKA_270_CSV_X_Fingerprint_776,PKA_54_HYD_X_Fingerprint_685,PKA_54_HYD_X_Fingerprint_776,PKA_54_POL_X_Fingerprint_776,EXP_CDK13_X_EXP_UBXN7,EXP_CDK15_X_EXP_CCNA1,EXP_NTRK3_X_EXP_SHC3,EXP_PLK2_X_EXP_CCNF,EXP_PRKACA_X_EXP_HAUS2,EXP_PRKACG_X_EXP_CACNA2D4,EXP_PRKG1_X_EXP_LIPE,EXP_PRKG1_X_EXP_PRKAR1B,EXP_RIOK1_X_EXP_UTP15,EXP_RIOK1_X_EXP_UTP3,EXP_RIOK1_X_EXP_WDR36,PWY_R_HSA_1430728_X_PWY_R_HSA_168898,PWY_R_HSA_168138_EXP_X_PWY_R_HSA_9006934_EXP,PWY_R_HSA_2672351_X_PWY_R_HSA_74751,GO_0035556_EXP_X_GO_0043507_EXP,Predicted IC50,Validation
-0.388806,684072,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.719164,0.719164,0,0,0,2.8120230414,0,0,0,0,34.349183998,14.847303626,9.0052370897,18.209939189,20.110892585,9.9214544172,10.188591636,12.294260547,37.502075792,65.874090874,58.81610126,0,0,0,0,-0.406858087,3
-0.904058,907060,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,2.930800576,0,0,0,0,0,0,0,0,0,2.9613389716,0,0,0,0,27.262048529,10.61348984,9.6218970609,33.515964853,24.002591281,9.4672671951,11.447725503,12.312499106,32.088147286,59.406716804,52.544828719,0,0,0,0,-0.739509147,6
-0.647231,907072,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.783763,0,0,0,0,2.9821391631,0,0,0,0,22.726033956,11.087668609,9.5981689121,35.934903777,21.331607063,10.156656363,11.135085987,12.476613591,28.743237808,55.270825494,54.332892909,0,27.78568242,0,0,-0.995428256,8
0.124181,907290,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.808822,0.808822,0,0,0,3.0519680987,0,0,0,0,26.540855409,11.097131508,10.184566407,36.629645354,21.789258991,10.804519206,9.3369333412,11.522895365,34.934751965,59.401788109,56.821495714,0,0,0,15.861240325,0.4462109651,3
0.961682,909717,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.676585,0.676585,0,0,2.8216909392,2.8853078362,0,0,0,0,26.394592694,11.651586588,11.401136223,28.150214215,23.366112791,10.400456682,9.951128449,10.77562335,30.600268578,53.406060786,53.270873983,0,0,0,0,-0.632122179,4
-0.887798,909731,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.692127,0,0,0,2.9507145701,0,0,0,0,30.24896149,10.432505461,8.8587744464,19.403289614,22.43443416,9.729510298,11.021439434,13.110838676,40.502593648,71.565154191,69.671332466,0,0,0,0,-0.255134015,10
-0.095433,909776,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.695469,0,8.0283427752,0,2.7347708294,0,0,0,0,22.345868805,10.158999337,10.240556941,48.4562224,21.602636521,14.171106839,10.708224261,11.95300844,28.910761216,53.678525463,46.901006647,1,54.35647896,1,134.16309233,-0.468958667,4
-1.943107,909977,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,4.5849698064,0,0,0,0,0,0,1,0,0,3.0721112736,0,0,0,0,20.437683333,10.711056908,12.76784225,30.397930836,21.91465757,10.751389382,14.44980512,15.710551673,25.901691244,51.093235665,42.895302048,0,40.862101982,0,0,-1.373745327,5
-1.963148,910849,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.673362,0.549837,0,0,0,3.0640868149,0,0,0,0,17.525309488,16.437011176,13.145579137,45.675662948,26.198013714,10.956855293,11.942974286,14.070149166,32.797264125,58.900606838,51.37701858,1,26.953999318,0,82.464957968,-1.51404637,9
-0.720793,925345,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1.620897,2.376703,1,0,7.3094831268,2.7765696572,0,0,0,0,23.819720015,10.713575669,9.6166305006,26.426081687,21.183419867,9.48998993,10.08925322,9.6053583149,36.535426961,70.817851914,56.739733584,0,0,0,0,-1.616490315,10
-0.895388,949155,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3.0044150727,1,0,0,0,1,0,6.6855267114,2.8879198566,0,0,0,0,36.274790067,10.346248062,8.7058642429,16.760101263,19.652003249,9.1487472515,9.9185008266,11.576327373,39.008449304,74.413931715,68.573827444,0,0,0,0,-1.043032371,5
0.132081,949156,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.776085,0.776085,1,0,0,2.8780533823,0,0,0,0,44.798093486,10.794183976,9.644120852,17.625816762,20.705489864,9.5824113225,9.6012577985,12.146003422,35.269703006,56.593475856,51.027824356,0,0,0,0,-0.393057578,1
0.696608,949157,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.888198,1,0,0,2.8984326971,0,0,0,0,25.322694992,10.66212417,9.9341309394,20.766435669,21.281993537,10.77828531,11.340961334,11.637528743,30.676186644,56.566119128,51.412605613,0,0,0,12.555750441,-0.279128234,3
-0.66621,949158,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3.2168039355,0,0,0.637623,0.637623,1,0,0,2.6452927445,0,-1.49,-1.49,-0.7,33.290778295,11.031798427,10.316697911,18.494065799,18.289654474,9.3885265006,11.075526313,13.764864589,40.712039722,74.354625651,64.056241017,0,0,0,0,-0.522502468,9
-0.656,949160,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2.9003866725,0,0,0,0,36.589254823,10.627773576,7.9993350407,19.306658023,19.318383235,9.4980359672,8.8651518158,10.815929984,34.692284217,58.527435888,51.899110049,0,0,0,0,-0.49153359,8
-0.592261,949163,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3.3313517261,0,1,0.739629,0.739629,1,0,3.3313517261,2.9104168565,0,0,0,0,40.512636281,11.996454375,10.044883454,15.033731639,21.968384453,9.9762453564,9.4664670431,10.043242677,41.709953027,68.979106363,59.930806696,0,0,0,0,-0.676649958,6
-0.861627,949164,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1941634071,0,0,0,0,33.33989106,12.032301858,8.3086968497,20.793253443,20.62812756,9.6354531193,10.372834112,12.098228524,40.197034732,66.442457496,61.087107443,0,0,0,0,0.1730020301,2
-1.130499,949165,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,4.6977843984,0,0,0,1.373047,0,0,0,2.7228380038,0,0,0,0,28.39740213,11.313559294,9.1206759932,20.997731019,19.889241117,9.8348683936,10.327204653,10.532556832,34.945078756,61.213092099,56.058785613,0,0,0,24.685635707,-0.615762604,3
-0.837208,949166,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.662468,0,0,0,3.0941834172,0.824892,-2.83,-2.83,3,27.798543169,25.743298542,10.635525405,19.350757965,21.771014815,9.5817967987,12.820972861,13.250195583,30.963682448,59.685857295,51.721987271,0,0,0,0,-0.975799738,6
1.118919,949168,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2428884457,0,0,0,0,26.878998992,17.324493575,13.937776899,19.281919244,21.510423207,10.198319322,11.996572041,15.133509489,34.776034645,56.288668737,55.278663599,0,0,0,107.39675299,1.3349245087,10
1.177415,1240221,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5293102072,2.9104851548,0,0,0,0,27.508434475,29.335741825,9.2688434107,17.253949081,23.1855917,11.069400868,9.4728606273,10.442583758,42.005927286,73.374862967,63.95234828,0,0,0,0,1.0421634688,10
-0.71676,1290767,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,5.329058078,0,0,0,0,0.672865,0,0,5.329058078,0,3.1491406631,0,0,0,0,19.362000515,11.906094986,9.3360238645,42.283753438,22.112432907,10.175375641,12.640003542,12.631789937,27.483191419,54.826111741,45.078445028,0,54.486544601,1,0,-0.079143266,1
-2.145767,1290768,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1382006779,0,0,0,0,23.835419265,11.045112677,10.331341449,27.801908183,19.993996052,10.398773094,10.720440822,11.472665716,29.490659451,50.594730256,52.119412441,0,0,0,0,-0.706024297,4
-0.465789,1290795,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.761795,0,0,0,0,3.2154952047,0.761795,0,0,0,23.07740853,9.6120018918,10.083427425,35.695401562,21.841611842,11.243922575,11.700178369,12.038611411,41.057881109,60.153271039,62.975194251,0,0,0,0,0.0395912193,1
-0.155881,1299067,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9410205775,0,0,0,0,30.677749439,12.397967386,9.2610152282,14.897340447,23.056821529,11.205756498,8.412745461,11.16091264,39.523825055,70.641549761,63.285654304,0,26.947196053,0,0,-0.731970709,2
0.122859,684052,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,4.4603652296,0,0,0,0,0,0,0,0,0,3.0926599295,0,0,0,0,26.554289808,19.56818542,11.10653626,19.861906479,22.624704809,11.081531662,9.1596905757,10.9397873,37.754411758,57.997387645,57.871754143,0,0,0,0,-0.279904828,10
0.205844,684057,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,3.6524762055,0,0,0,0,0,7.0634850795,0,2.9417306795,0,0,0,0,37.7518021,15.255574203,8.5429282835,18.311755346,23.421523515,9.1117252354,9.9325293684,10.613455181,40.542570543,73.067310145,62.936821248,0,0,0,0,1.0222233932,5
-0.357752,684059,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,2,7.7419780697,0,0,0.792229,0.792229,0,0,0,3.0196608111,0,0,0,0,39.589256879,12.392245848,8.2306219347,15.089954865,21.274815729,9.6144764242,10.847635479,12.229593065,44.628075318,71.633589187,64.736529026,0,0,0,0,0.3243402923,6
-0.175301,684072,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.719164,0.719164,0,0,0,2.8120230414,0,0,0,0,34.349183998,14.847303626,9.0052370897,18.209939189,20.110892585,9.9214544172,10.188591636,12.294260547,37.502075792,65.874090874,58.81610126,0,0,0,0,0.6947059691,10
-0.796446,907060,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,2.930800576,0,0,0,0,0,0,0,0,0,2.9613389716,0,0,0,0,27.262048529,10.61348984,9.6218970609,33.515964853,24.002591281,9.4672671951,11.447725503,12.312499106,32.088147286,59.406716804,52.544828719,0,0,0,0,-1.135179984,9
-2.896317,907072,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.783763,0,0,0,0,2.9821391631,0,0,0,0,22.726033956,11.087668609,9.5981689121,35.934903777,21.331607063,10.156656363,11.135085987,12.476613591,28.743237808,55.270825494,54.332892909,0,27.78568242,0,0,-1.28293681,10
-0.962507,907290,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.808822,0.808822,0,0,0,3.0519680987,0,0,0,0,26.540855409,11.097131508,10.184566407,36.629645354,21.789258991,10.804519206,9.3369333412,11.522895365,34.934751965,59.401788109,56.821495714,0,0,0,15.861240325,-1.00581507,3
0.557437,909717,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.676585,0.676585,0,0,2.8216909392,2.8853078362,0,0,0,0,26.394592694,11.651586588,11.401136223,28.150214215,23.366112791,10.400456682,9.951128449,10.77562335,30.600268578,53.406060786,53.270873983,0,0,0,0,-1.182115707,3
0.638415,909731,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.692127,0,0,0,2.9507145701,0,0,0,0,30.24896149,10.432505461,8.8587744464,19.403289614,22.43443416,9.729510298,11.021439434,13.110838676,40.502593648,71.565154191,69.671332466,0,0,0,0,0.6642721888,8
-0.3208,909776,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.695469,0,8.0283427752,0,2.7347708294,0,0,0,0,22.345868805,10.158999337,10.240556941,48.4562224,21.602636521,14.171106839,10.708224261,11.95300844,28.910761216,53.678525463,46.901006647,1,54.35647896,1,134.16309233,-1.055399821,3
1.052953,909977,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,4.5849698064,0,0,0,0,0,0,1,0,0,3.0721112736,0,0,0,0,20.437683333,10.711056908,12.76784225,30.397930836,21.91465757,10.751389382,14.44980512,15.710551673,25.901691244,51.093235665,42.895302048,0,40.862101982,0,0,0.5688017858,1
-1.680392,910849,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.673362,0.549837,0,0,0,3.0640868149,0,0,0,0,17.525309488,16.437011176,13.145579137,45.675662948,26.198013714,10.956855293,11.942974286,14.070149166,32.797264125,58.900606838,51.37701858,1,26.953999318,0,82.464957968,-0.746150704,7
-1.700067,925345,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1.620897,2.376703,1,0,7.3094831268,2.7765696572,0,0,0,0,23.819720015,10.713575669,9.6166305006,26.426081687,21.183419867,9.48998993,10.08925322,9.6053583149,36.535426961,70.817851914,56.739733584,0,0,0,0,-1.646241064,3
1.55181,949155,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,3.0044150727,1,0,0,0,1,0,6.6855267114,2.8879198566,0,0,0,0,36.274790067,10.346248062,8.7058642429,16.760101263,19.652003249,9.1487472515,9.9185008266,11.576327373,39.008449304,74.413931715,68.573827444,0,0,0,0,0.0403216078,4
1.925107,949156,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.776085,0.776085,1,0,0,2.8780533823,0,0,0,0,44.798093486,10.794183976,9.644120852,17.625816762,20.705489864,9.5824113225,9.6012577985,12.146003422,35.269703006,56.593475856,51.027824356,0,0,0,0,0.6494580109,4
-0.354743,949157,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.888198,1,0,0,2.8984326971,0,0,0,0,25.322694992,10.66212417,9.9341309394,20.766435669,21.281993537,10.77828531,11.340961334,11.637528743,30.676186644,56.566119128,51.412605613,0,0,0,12.555750441,-0.104656901,8
1.140005,949158,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,3.2168039355,0,0,0.637623,0.637623,1,0,0,2.6452927445,0,0,-1.49,-0.7,33.290778295,11.031798427,10.316697911,18.494065799,18.289654474,9.3885265006,11.075526313,13.764864589,40.712039722,74.354625651,64.056241017,0,0,0,0,0.6864631855,1
0.058573,949160,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2.9003866725,0,0,0,0,36.589254823,10.627773576,7.9993350407,19.306658023,19.318383235,9.4980359672,8.8651518158,10.815929984,34.692284217,58.527435888,51.899110049,0,0,0,0,0.2951256792,4
-0.040638,949163,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,3.3313517261,0,1,0.739629,0.739629,1,0,3.3313517261,2.9104168565,0,0,0,0,40.512636281,11.996454375,10.044883454,15.033731639,21.968384453,9.9762453564,9.4664670431,10.043242677,41.709953027,68.979106363,59.930806696,0,0,0,0,0.2628626751,3
1.649788,949164,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.1941634071,0,0,0,0,33.33989106,12.032301858,8.3086968497,20.793253443,20.62812756,9.6354531193,10.372834112,12.098228524,40.197034732,66.442457496,61.087107443,0,0,0,0,1.3235180986,4
-0.129793,949165,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,4.6977843984,0,0,0,1.373047,0,0,0,2.7228380038,0,0,0,0,28.39740213,11.313559294,9.1206759932,20.997731019,19.889241117,9.8348683936,10.327204653,10.532556832,34.945078756,61.213092099,56.058785613,0,0,0,24.685635707,-0.659290878,7
-0.873856,949166,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.662468,0,0,0,3.0941834172,0.824892,0,-2.83,3,27.798543169,25.743298542,10.635525405,19.350757965,21.771014815,9.5817967987,12.820972861,13.250195583,30.963682448,59.685857295,51.721987271,0,0,0,0,-0.297913219,1
1.536382,949168,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2428884457,0,0,0,0,26.878998992,17.324493575,13.937776899,19.281919244,21.510423207,10.198319322,11.996572041,15.133509489,34.776034645,56.288668737,55.278663599,0,0,0,107.39675299,2.6323673492,2
1.345422,1240221,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.5293102072,2.9104851548,0,0,0,0,27.508434475,29.335741825,9.2688434107,17.253949081,23.1855917,11.069400868,9.4728606273,10.442583758,42.005927286,73.374862967,63.95234828,0,0,0,0,2.1522029781,1
1.152913,1290767,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,5.329058078,0,0,0,0,0.672865,0,0,5.329058078,0,3.1491406631,0,0,0,0,19.362000515,11.906094986,9.3360238645,42.283753438,22.112432907,10.175375641,12.640003542,12.631789937,27.483191419,54.826111741,45.078445028,0,54.486544601,1,0,-0.033608679,9
-1.429465,1290768,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.1382006779,0,0,0,0,23.835419265,11.045112677,10.331341449,27.801908183,19.993996052,10.398773094,10.720440822,11.472665716,29.490659451,50.594730256,52.119412441,0,0,0,0,-0.887860185,4
1.335318,1290795,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0.761795,0,0,0,0,3.2154952047,0.761795,0,0,0,23.07740853,9.6120018918,10.083427425,35.695401562,21.841611842,11.243922575,11.700178369,12.038611411,41.057881109,60.153271039,62.975194251,0,0,0,0,0.6697919,3
